Date,Close,Volume,Open,High,Low,stock
10/1/2018,$223.77 ,2955434,$224.84 ,$225.35 ,$223.09 ,MA
9/28/2018,$222.61 ,2954984,$222.13 ,$223.69 ,$221.05 ,MA
9/27/2018,$222.31 ,2644632,$222.69 ,$223.61 ,$222.06 ,MA
9/26/2018,$222.26 ,2962297,$222.62 ,$224.36 ,$221.70 ,MA
9/25/2018,$222.12 ,2135997,$221.92 ,$223.04 ,$221.22 ,MA
9/24/2018,$221.35 ,2519938,$220.41 ,$222.14 ,$218.21 ,MA
9/21/2018,$221.90 ,7176785,$222.14 ,$223.37 ,$220.89 ,MA
9/20/2018,$221.39 ,3108485,$219.98 ,$221.92 ,$218.90 ,MA
9/19/2018,$218.19 ,2882211,$220.63 ,$221.41 ,$217.16 ,MA
9/18/2018,$220.05 ,2850943,$217.46 ,$220.96 ,$217.30 ,MA
9/17/2018,$216.47 ,2500434,$219.97 ,$219.98 ,$216.11 ,MA
9/14/2018,$217.96 ,2601198,$218 ,$218.82 ,$216.42 ,MA
9/13/2018,$217.22 ,3865603,$214.77 ,$218.69 ,$214.37 ,MA
9/12/2018,$214.03 ,2291309,$213.05 ,$214.46 ,$211.86 ,MA
9/11/2018,$213.45 ,2728521,$210.52 ,$213.56 ,$210.10 ,MA
9/10/2018,$211.67 ,3156596,$212.66 ,$213.48 ,$211.38 ,MA
9/7/2018,$211.09 ,3232902,$211.02 ,$213.24 ,$209.70 ,MA
9/6/2018,$212.77 ,3032843,$211.44 ,$213.27 ,$210.47 ,MA
9/5/2018,$211.16 ,3774498,$215.76 ,$215.77 ,$210.31 ,MA
9/4/2018,$216.82 ,3776452,$215.68 ,$217.35 ,$214.68 ,MA
8/31/2018,$215.56 ,3018299,$213.58 ,$215.80 ,$213.50 ,MA
8/30/2018,$213.80 ,3058420,$214.25 ,$215.28 ,$212.83 ,MA
8/29/2018,$214.57 ,3126341,$212.50 ,$215.86 ,$212.45 ,MA
8/28/2018,$212.63 ,2179134,$211.70 ,$213.03 ,$210.94 ,MA
8/27/2018,$211.53 ,2531070,$210.18 ,$211.75 ,$210.18 ,MA
8/24/2018,$209.40 ,2720259,$206 ,$209.50 ,$205.57 ,MA
8/23/2018,$205.22 ,2239020,$204.49 ,$205.96 ,$204.18 ,MA
8/22/2018,$204.31 ,1900093,$202.50 ,$205.22 ,$202.25 ,MA
8/21/2018,$203.09 ,1915084,$205 ,$205.93 ,$202.63 ,MA
8/20/2018,$204.75 ,2393620,$203.47 ,$204.98 ,$202.36 ,MA
8/17/2018,$203.21 ,2249087,$203.86 ,$204.60 ,$202.01 ,MA
8/16/2018,$203.60 ,2795660,$201.94 ,$204.23 ,$200.82 ,MA
8/15/2018,$200.24 ,2898276,$202.65 ,$203.05 ,$199.50 ,MA
8/14/2018,$203.88 ,2002662,$202.81 ,$204.05 ,$201.39 ,MA
8/13/2018,$202.31 ,1907891,$202.65 ,$204.34 ,$201.89 ,MA
8/10/2018,$202.65 ,2566264,$202.97 ,$203.91 ,$202.16 ,MA
8/9/2018,$203.60 ,2444849,$203.19 ,$204.66 ,$202.65 ,MA
8/8/2018,$202.86 ,2572522,$202.42 ,$203.58 ,$202.08 ,MA
8/7/2018,$202.62 ,2421972,$202.50 ,$203.15 ,$201.96 ,MA
8/6/2018,$201.54 ,3061130,$201 ,$202.46 ,$200.51 ,MA
8/3/2018,$201.20 ,2704349,$202.01 ,$202.43 ,$198.28 ,MA
8/2/2018,$202.01 ,3583172,$199.09 ,$202.19 ,$197.87 ,MA
8/1/2018,$201.20 ,4612549,$199.27 ,$201.36 ,$198.35 ,MA
7/31/2018,$198 ,4415695,$199.02 ,$200.62 ,$196.23 ,MA
7/30/2018,$197.87 ,5890569,$202.95 ,$203.33 ,$196.20 ,MA
7/27/2018,$202.94 ,4912889,$211.69 ,$211.75 ,$201.22 ,MA
7/26/2018,$207.37 ,7276245,$210.15 ,$211.80 ,$204.56 ,MA
7/25/2018,$214.16 ,4956992,$210 ,$214.28 ,$209.65 ,MA
7/24/2018,$209.58 ,3507754,$208.74 ,$210.40 ,$208.31 ,MA
7/23/2018,$207.84 ,2715913,$206.70 ,$207.96 ,$205.65 ,MA
7/20/2018,$206.71 ,2801029,$206.19 ,$207.35 ,$206.18 ,MA
7/19/2018,$206.06 ,2231163,$208.36 ,$208.71 ,$205.76 ,MA
7/18/2018,$208.36 ,3594784,$206.65 ,$208.38 ,$205.38 ,MA
7/17/2018,$206.37 ,2849282,$203 ,$206.70 ,$201.63 ,MA
7/16/2018,$204.08 ,2954052,$205.62 ,$206 ,$203.76 ,MA
7/13/2018,$205.91 ,2590808,$207.10 ,$207.53 ,$203.44 ,MA
7/12/2018,$207.78 ,3970213,$205 ,$209.19 ,$204.75 ,MA
7/11/2018,$203.84 ,2715313,$200.47 ,$204.15 ,$200.25 ,MA
7/10/2018,$201.52 ,2260223,$201.34 ,$202.75 ,$200.12 ,MA
7/9/2018,$200.93 ,2299826,$200.80 ,$201.59 ,$199.25 ,MA
7/6/2018,$199.52 ,2050319,$198.11 ,$200.26 ,$197.48 ,MA
7/5/2018,$198.87 ,3100234,$198 ,$198.96 ,$197.15 ,MA
7/3/2018,$196.29 ,1567376,$198.33 ,$198.58 ,$196.14 ,MA
7/2/2018,$197.67 ,3018216,$195.74 ,$197.97 ,$194.75 ,MA
6/29/2018,$196.52 ,3006515,$198.20 ,$198.31 ,$196.18 ,MA
6/28/2018,$197.10 ,2621095,$193.46 ,$197.75 ,$193.21 ,MA
6/27/2018,$193.18 ,3232981,$197.46 ,$198.20 ,$193.16 ,MA
6/26/2018,$196.46 ,4271173,$196.18 ,$198.66 ,$195.76 ,MA
6/25/2018,$194.98 ,4779739,$200.39 ,$200.44 ,$193.71 ,MA
6/22/2018,$201.48 ,3126402,$201.57 ,$201.87 ,$199.61 ,MA
6/21/2018,$200.78 ,2678088,$202.41 ,$203.68 ,$199.98 ,MA
6/20/2018,$201.54 ,3898103,$200.50 ,$203.46 ,$200.25 ,MA
6/19/2018,$199.69 ,2666031,$198.46 ,$199.93 ,$197.27 ,MA
6/18/2018,$201.13 ,2080998,$197.64 ,$201.45 ,$197.41 ,MA
6/15/2018,$199.53 ,4162007,$198.55 ,$199.67 ,$197.57 ,MA
6/14/2018,$199.31 ,2846542,$200.67 ,$201.39 ,$199.05 ,MA
6/13/2018,$199.41 ,2686293,$200.63 ,$201.62 ,$199.21 ,MA
6/12/2018,$200.13 ,2660040,$199.12 ,$200.15 ,$198.19 ,MA
6/11/2018,$198.49 ,2616598,$200.61 ,$201 ,$198.26 ,MA
6/8/2018,$200.04 ,2295477,$199.20 ,$200.53 ,$199 ,MA
6/7/2018,$199.54 ,4083957,$203.38 ,$204 ,$198.30 ,MA
6/6/2018,$203.21 ,3231162,$199.86 ,$203.29 ,$199.77 ,MA
6/5/2018,$199.36 ,2655278,$198.11 ,$199.71 ,$197.83 ,MA
6/4/2018,$197.73 ,3916932,$195.94 ,$198.11 ,$195.23 ,MA
6/1/2018,$195.37 ,4194325,$192.03 ,$195.37 ,$191.90 ,MA
5/31/2018,$190.12 ,4627176,$191.89 ,$192.44 ,$189.82 ,MA
5/30/2018,$191.76 ,2763925,$190.43 ,$191.93 ,$189.90 ,MA
5/29/2018,$189.53 ,4544581,$190.25 ,$190.49 ,$186.60 ,MA
5/25/2018,$191.17 ,2459441,$191.75 ,$191.89 ,$189.72 ,MA
5/24/2018,$191.91 ,2812554,$192.91 ,$193.40 ,$190 ,MA
5/23/2018,$192.99 ,2529551,$190.74 ,$193 ,$190.30 ,MA
5/22/2018,$191.62 ,2615443,$191.18 ,$192.64 ,$190.84 ,MA
5/21/2018,$191.20 ,2632499,$191.50 ,$192.83 ,$190.01 ,MA
5/18/2018,$190.40 ,4208011,$191.62 ,$192.09 ,$190.39 ,MA
5/17/2018,$191.20 ,2377635,$192.05 ,$192.44 ,$190.59 ,MA
5/16/2018,$192.38 ,2109185,$192.69 ,$192.91 ,$191.44 ,MA
5/15/2018,$192 ,2746688,$191.01 ,$192.20 ,$190.15 ,MA
5/14/2018,$192.12 ,2556934,$193.50 ,$194.72 ,$191.59 ,MA
5/11/2018,$193.35 ,3301629,$193 ,$194.09 ,$192.04 ,MA
5/10/2018,$193.05 ,2805818,$191.04 ,$193.72 ,$190.94 ,MA
5/9/2018,$190.63 ,2933364,$190.51 ,$191.68 ,$189 ,MA
5/8/2018,$190.53 ,3366373,$188.89 ,$190.66 ,$188.02 ,MA
5/7/2018,$189.10 ,4075398,$188.30 ,$189.52 ,$187.63 ,MA
5/4/2018,$188.17 ,3588176,$185.79 ,$188.79 ,$185.11 ,MA
5/3/2018,$186.48 ,5785391,$184.60 ,$187.89 ,$183.94 ,MA
5/2/2018,$185.82 ,9925293,$186.20 ,$188.25 ,$183.12 ,MA
5/1/2018,$180.25 ,4811281,$178.27 ,$180.36 ,$176.91 ,MA
4/30/2018,$178.27 ,4319297,$177.49 ,$180 ,$177.10 ,MA
4/27/2018,$175.94 ,3763768,$178.54 ,$179 ,$175.18 ,MA
4/26/2018,$178.16 ,4783209,$174.52 ,$179.63 ,$174.22 ,MA
4/25/2018,$172.47 ,3133728,$173.37 ,$173.87 ,$170.65 ,MA
4/24/2018,$173.24 ,5367962,$176.68 ,$177.55 ,$171.19 ,MA
4/23/2018,$175.43 ,4354029,$178.16 ,$178.35 ,$174.70 ,MA
4/20/2018,$177.08 ,4231038,$178.53 ,$179.49 ,$176.50 ,MA
4/19/2018,$179.01 ,3560370,$179.08 ,$179.57 ,$178.26 ,MA
4/18/2018,$179.46 ,3149461,$178.50 ,$179.80 ,$177.07 ,MA
4/17/2018,$178.34 ,4141401,$175.77 ,$179.19 ,$174.67 ,MA
4/16/2018,$173.87 ,4668550,$175.62 ,$176.10 ,$172.97 ,MA
4/13/2018,$174.27 ,3059947,$176 ,$176.10 ,$172.70 ,MA
4/12/2018,$174.80 ,3064407,$173.33 ,$176.48 ,$173.16 ,MA
4/11/2018,$172.36 ,2779602,$173.70 ,$175.60 ,$172.12 ,MA
4/10/2018,$174.72 ,3149911,$173.14 ,$175.45 ,$172.02 ,MA
4/9/2018,$170.34 ,3907129,$171.27 ,$174.09 ,$170.14 ,MA
4/6/2018,$169.70 ,5003821,$173.37 ,$175.15 ,$168.96 ,MA
4/5/2018,$175.80 ,3430110,$175.13 ,$177.44 ,$174.54 ,MA
4/4/2018,$173.69 ,4628001,$169.18 ,$174.01 ,$167.94 ,MA
4/3/2018,$172.47 ,3611269,$172.36 ,$172.89 ,$169.81 ,MA
4/2/2018,$171.60 ,4222047,$174.64 ,$175.77 ,$169.04 ,MA
3/29/2018,$175.16 ,3710046,$171.72 ,$176.66 ,$170.82 ,MA
3/28/2018,$170.35 ,5165979,$172.25 ,$172.93 ,$168.55 ,MA
3/27/2018,$172.52 ,4626177,$178.36 ,$178.50 ,$170.97 ,MA
3/26/2018,$177.17 ,5180138,$175.33 ,$177.47 ,$173.06 ,MA
3/23/2018,$171.83 ,4213446,$176.18 ,$177.79 ,$171.66 ,MA
3/22/2018,$175.52 ,4379632,$179.20 ,$180.26 ,$175.11 ,MA
3/21/2018,$180.75 ,3236292,$182.96 ,$183.50 ,$180.74 ,MA
3/20/2018,$182.51 ,2859159,$181.31 ,$183.25 ,$181.22 ,MA
3/19/2018,$180.58 ,3703470,$181.79 ,$182.30 ,$179.11 ,MA
3/16/2018,$182.55 ,4351598,$181.01 ,$183.17 ,$181.01 ,MA
3/15/2018,$180.95 ,2250844,$180.57 ,$182.17 ,$180.02 ,MA
3/14/2018,$180.12 ,2816424,$181.99 ,$182 ,$179.62 ,MA
3/13/2018,$181.01 ,3262961,$183.47 ,$183.73 ,$180.15 ,MA
3/12/2018,$182.54 ,3581999,$182.83 ,$183.52 ,$181.70 ,MA
3/9/2018,$183.24 ,3667718,$180.25 ,$183.33 ,$179.97 ,MA
3/8/2018,$179.25 ,2192575,$179.35 ,$179.89 ,$177.56 ,MA
3/7/2018,$179.21 ,2766054,$175.76 ,$179.71 ,$175.55 ,MA
3/6/2018,$177.53 ,3808295,$179.18 ,$180.09 ,$176.95 ,MA
3/5/2018,$178.53 ,4344636,$174.13 ,$179.27 ,$172.91 ,MA
3/2/2018,$175.02 ,4142919,$171.56 ,$175.33 ,$169.27 ,MA
3/1/2018,$173.49 ,4657594,$176.35 ,$177.35 ,$172.15 ,MA
2/28/2018,$175.76 ,4128101,$176.29 ,$178.97 ,$175.75 ,MA
2/27/2018,$175.93 ,3815705,$177.72 ,$179.17 ,$175.93 ,MA
2/26/2018,$177.87 ,4087460,$176.50 ,$178.14 ,$176.06 ,MA
2/23/2018,$175.76 ,3093448,$173.90 ,$175.78 ,$172.49 ,MA
2/22/2018,$172.95 ,5593382,$173.34 ,$173.83 ,$170.80 ,MA
2/21/2018,$172.32 ,5995884,$175.35 ,$176.35 ,$172.28 ,MA
2/20/2018,$175.35 ,3749440,$174.88 ,$176.43 ,$174.04 ,MA
2/16/2018,$175.65 ,4210868,$174.35 ,$176.67 ,$174.14 ,MA
2/15/2018,$174.69 ,3899314,$173.95 ,$174.70 ,$171.36 ,MA
2/14/2018,$172.52 ,4203532,$169.36 ,$172.66 ,$169 ,MA
2/13/2018,$170.12 ,3467726,$167.33 ,$170.77 ,$167.01 ,MA
2/12/2018,$168.19 ,5140647,$166.80 ,$168.82 ,$165.58 ,MA
2/9/2018,$165.20 ,6284874,$161.67 ,$166.49 ,$158.57 ,MA
2/8/2018,$160.62 ,6405741,$168.77 ,$169.24 ,$160.46 ,MA
2/7/2018,$168.73 ,4341209,$169 ,$172.61 ,$167.45 ,MA
2/6/2018,$169.28 ,7236524,$160.50 ,$169.36 ,$156.80 ,MA
2/5/2018,$164.59 ,7147434,$167.37 ,$171.96 ,$164.01 ,MA
2/2/2018,$170.55 ,6551921,$171.90 ,$177.11 ,$170.42 ,MA
2/1/2018,$172.93 ,6839852,$172.51 ,$176.72 ,$171 ,MA
1/31/2018,$169 ,5809561,$167.51 ,$169.67 ,$167.02 ,MA
1/30/2018,$167.19 ,4225490,$167.41 ,$168 ,$166.30 ,MA
1/29/2018,$168.55 ,3082692,$170.12 ,$170.81 ,$168.29 ,MA
1/26/2018,$170.34 ,2189897,$169.01 ,$170.36 ,$168.79 ,MA
1/25/2018,$168.59 ,2088174,$168.01 ,$168.93 ,$167.13 ,MA
1/24/2018,$167.01 ,3173772,$167.94 ,$168.10 ,$165.95 ,MA
1/23/2018,$167.19 ,3034667,$168.50 ,$168.95 ,$166.65 ,MA
1/22/2018,$168.28 ,2275486,$166.58 ,$168.33 ,$166.29 ,MA
1/19/2018,$166.83 ,2947590,$166.30 ,$166.95 ,$165.16 ,MA
1/18/2018,$165.48 ,4149517,$164.83 ,$165.98 ,$164.11 ,MA
1/17/2018,$164.32 ,3135879,$163.12 ,$164.50 ,$162.88 ,MA
1/16/2018,$162.29 ,4672651,$163.64 ,$163.94 ,$161.31 ,MA
1/12/2018,$162.33 ,3038850,$161.50 ,$162.52 ,$160.25 ,MA
1/11/2018,$160.92 ,2803806,$160.10 ,$161.13 ,$159.44 ,MA
1/10/2018,$159.86 ,2416842,$159.23 ,$159.97 ,$157.57 ,MA
1/9/2018,$159.50 ,2423768,$159.65 ,$160.11 ,$158.54 ,MA
1/8/2018,$159.27 ,3141442,$158.58 ,$160.48 ,$158.08 ,MA
1/5/2018,$159.04 ,2747585,$156.20 ,$159.04 ,$156.19 ,MA
1/4/2018,$155.81 ,3247217,$154.54 ,$157.40 ,$154.32 ,MA
1/3/2018,$153.82 ,3732249,$152.29 ,$153.98 ,$152.16 ,MA
