Date,Close,Volume,Open,High,Low,stock
11/5/2012,$234.33 ,1845871,$232.04 ,$234.83 ,$230.11 ,AMZN
11/2/2012,$232.42 ,3374447,$234.01 ,$237.40 ,$232.11 ,AMZN
11/1/2012,$232.14 ,3902669,$234.23 ,$234.55 ,$231.34 ,AMZN
10/31/2012,$232.89 ,4797436,$236.32 ,$238.70 ,$230.50 ,AMZN
10/26/2012,$238.24 ,9999999,$228.60 ,$238.71 ,$226.69 ,AMZN
10/25/2012,$222.92 ,6628284,$230.92 ,$230.92 ,$222.92 ,AMZN
10/24/2012,$228.49 ,3677248,$235.88 ,$235.94 ,$227.95 ,AMZN
10/23/2012,$234.31 ,4430513,$231.05 ,$236.50 ,$230.01 ,AMZN
10/22/2012,$233.78 ,4499738,$238.81 ,$238.95 ,$232.32 ,AMZN
10/19/2012,$240 ,4394082,$245.16 ,$246.82 ,$238.94 ,AMZN
10/18/2012,$244.85 ,5304851,$247.77 ,$250.91 ,$242.70 ,AMZN
10/17/2012,$247.49 ,3302418,$243.37 ,$248.80 ,$243.30 ,AMZN
10/16/2012,$243.94 ,2203438,$244.87 ,$245.77 ,$242.08 ,AMZN
10/15/2012,$244.18 ,2959601,$242.85 ,$244.78 ,$238.51 ,AMZN
10/12/2012,$242.36 ,2203001,$243.18 ,$245.46 ,$241.91 ,AMZN
10/11/2012,$244.22 ,3447282,$248 ,$249.30 ,$241.89 ,AMZN
10/10/2012,$244.99 ,3945652,$252 ,$252.46 ,$244.01 ,AMZN
10/9/2012,$250.96 ,3494556,$258.67 ,$259.35 ,$250.73 ,AMZN
10/8/2012,$259.06 ,1761384,$257.67 ,$259.80 ,$255.56 ,AMZN
10/5/2012,$258.51 ,2806462,$261.20 ,$261.90 ,$257.49 ,AMZN
10/4/2012,$260.47 ,2710352,$256.01 ,$261.52 ,$255.87 ,AMZN
10/3/2012,$255.92 ,2744311,$251.21 ,$256.10 ,$249.56 ,AMZN
10/2/2012,$250.60 ,2168209,$252.80 ,$253.15 ,$249.03 ,AMZN
10/1/2012,$252.01 ,2581202,$255.40 ,$256.16 ,$250.49 ,AMZN
9/28/2012,$254.32 ,2455510,$256.14 ,$257 ,$253.20 ,AMZN
9/27/2012,$256.59 ,3390611,$250.54 ,$257.40 ,$250.52 ,AMZN
9/26/2012,$249.67 ,2919761,$252.40 ,$254.61 ,$248.23 ,AMZN
9/25/2012,$252.46 ,4404160,$256.33 ,$258.95 ,$251.03 ,AMZN
9/24/2012,$254.81 ,2704946,$255.22 ,$255.60 ,$253 ,AMZN
9/21/2012,$257.47 ,6055714,$261.74 ,$262 ,$256.74 ,AMZN
9/20/2012,$260.81 ,2912819,$260.03 ,$260.87 ,$258 ,AMZN
9/19/2012,$261.68 ,2636414,$259.45 ,$262.84 ,$258.53 ,AMZN
9/18/2012,$258.75 ,2213652,$258.48 ,$260.50 ,$257 ,AMZN
9/17/2012,$258 ,2306015,$261.25 ,$261.25 ,$257 ,AMZN
9/14/2012,$261.27 ,3666093,$261.40 ,$264.11 ,$259.77 ,AMZN
9/13/2012,$260.24 ,3525455,$254.94 ,$262 ,$253.80 ,AMZN
9/12/2012,$255.63 ,2272915,$256.50 ,$257.78 ,$253.50 ,AMZN
9/11/2012,$255.67 ,2523473,$257.60 ,$257.60 ,$254.26 ,AMZN
9/10/2012,$257.09 ,2567021,$259 ,$260 ,$256.82 ,AMZN
9/7/2012,$259.14 ,5028340,$253.85 ,$259.42 ,$253.52 ,AMZN
9/6/2012,$251.38 ,5360206,$248.23 ,$252.70 ,$247.20 ,AMZN
9/5/2012,$246.22 ,2652016,$247.61 ,$248.61 ,$245.30 ,AMZN
9/4/2012,$247.88 ,3945578,$248.27 ,$251 ,$244.66 ,AMZN
8/31/2012,$248.27 ,3346917,$248.07 ,$249.45 ,$245.50 ,AMZN
8/30/2012,$246.22 ,3647476,$246.99 ,$250 ,$245.25 ,AMZN
8/29/2012,$247.12 ,1772104,$246.78 ,$247.61 ,$244.59 ,AMZN
8/28/2012,$246.11 ,2741432,$243.97 ,$246.78 ,$243 ,AMZN
8/27/2012,$243.92 ,2929130,$245.79 ,$247.50 ,$243.12 ,AMZN
8/24/2012,$245.74 ,3698385,$241.68 ,$246.87 ,$241.36 ,AMZN
8/23/2012,$241.20 ,2452860,$242.14 ,$243.48 ,$239.02 ,AMZN
8/22/2012,$243.10 ,2471901,$239.40 ,$244.90 ,$238.80 ,AMZN
8/21/2012,$239.45 ,2571467,$240.88 ,$243.85 ,$238.55 ,AMZN
8/20/2012,$240.35 ,1889892,$241.37 ,$241.65 ,$238.20 ,AMZN
8/17/2012,$241.17 ,3085590,$240.60 ,$243.35 ,$240.47 ,AMZN
8/16/2012,$241.55 ,4312012,$237.72 ,$242.83 ,$236.20 ,AMZN
8/15/2012,$237.42 ,3262622,$232.26 ,$238.14 ,$232.25 ,AMZN
8/14/2012,$233.19 ,2750998,$234.71 ,$236.72 ,$232.62 ,AMZN
8/13/2012,$232.44 ,1996778,$232.23 ,$234.37 ,$231 ,AMZN
8/10/2012,$232.75 ,1852103,$233.08 ,$234.85 ,$231.43 ,AMZN
8/9/2012,$234.06 ,1530403,$233.93 ,$235.99 ,$233.50 ,AMZN
8/8/2012,$234.38 ,1534128,$235.29 ,$236.45 ,$233.59 ,AMZN
8/7/2012,$236.56 ,2057526,$234.13 ,$238 ,$233.25 ,AMZN
8/6/2012,$233.99 ,1843686,$235.56 ,$235.74 ,$233.81 ,AMZN
8/3/2012,$234.97 ,2824766,$234.03 ,$236.49 ,$233.03 ,AMZN
8/2/2012,$230.81 ,3047541,$230.56 ,$234.34 ,$228.66 ,AMZN
8/1/2012,$232.09 ,2543393,$234.14 ,$234.38 ,$230.70 ,AMZN
7/31/2012,$233.30 ,3449785,$235.10 ,$236.30 ,$231.61 ,AMZN
7/30/2012,$236.09 ,3736079,$237 ,$240.74 ,$234.07 ,AMZN
7/27/2012,$237.32 ,11310310,$225.25 ,$238.34 ,$224.50 ,AMZN
7/26/2012,$220.01 ,6802090,$220 ,$221.45 ,$214.95 ,AMZN
